what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393302988583
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393303010984
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1393303012212
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1393303015945
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393303015961
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393303017416
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393303020812
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393303036468
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393303070556
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393303070926
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393303071706
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1393303073204
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393303073351
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1393303076022
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1393303078031
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393303078142
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1393303086906
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1393303089570
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393303094693
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393303104016
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1393303106606
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1393303107541
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1393303111945
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393303114735
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393303127168
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1393303128402
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393303129048
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1393303132190
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1393303140647
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1393303157069
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1393303163943
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1393303166652
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1393303179336
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1393303181983
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1393303183811
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1393303192690
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393303192857
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1393303195270
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1393303196704
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393303198117
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393303200300
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393303217929
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1393303219588
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1393303220628
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1393303222645
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1393303231242
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1393303233230
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1393303234983
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393303240221
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393303242682
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393303354273
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393303358581
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1393303362801
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1393303364774
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1393303366352
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393303386028
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1393303390856
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1393303393371
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393303395636
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393303604533
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393303615344
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393304881954
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1393304885295
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393304885418
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1393304912546
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1393304919018
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393304935936
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393304939606
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1393304944705
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1393304984336
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1393304985758
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1393304988026
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1393304992629
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1393304996519
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1393305002041
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393305005696
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393305005882
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393305007320
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393305009525
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393305024647
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393305028791
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393305030143
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393305034227
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1393305065072
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1393305070559
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1393305072096
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1393305075056
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393305075071
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393305076194
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1393305077465
