what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1382681702130
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1382681705627
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1382681764922
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1382681778891
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382681784232
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382681788790
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382681802785
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382681802891
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382681813448
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382681813527
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382681818896
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382681818995
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382681823536
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382681824170
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1382681838251
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1382681843330
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382681850360
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382681850476
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1382681857904
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1382681885803
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1382681888421
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382681895343
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382681895422
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1382681899540
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1382681942282
