what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383027890267
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383027903239
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383030197050
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383030200333
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383035297712
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383035302817
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383035305899
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1383035314257
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383035319517
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383035342741
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383035342750
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383270994962
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1383271001612
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383271015741
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383271047162
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1383271054359
started,bundle,org.eclipse.wb.os,1.6.0.r36x201305211944,"org.eclipse.wb.os",1383271067636
started,bundle,org.eclipse.wb.os.win32,1.6.0.r36x201305211944,"org.eclipse.wb.os.win32",1383271068251
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383271101211
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383271101592
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1383271168127
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1383271185028
opened,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1383271189554
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383271197284
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383271197398
