what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393237690864
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1393237723623
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1393237726763
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1393237728241
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393237729283
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393237765513
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393237766576
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1393237781943
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1393237795621
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1393237803246
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1393237803634
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1393237804347
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1393237804938
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1393237835275
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1393237839373
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393237840780
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393237852805
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393237857109
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393237865324
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1393237886258
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1393237889810
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393237891876
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393237924414
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393237966858
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393237968948
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393237970125
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393237999763
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1393238008636
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1393238070232
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1393238074892
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393238076819
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393238124347
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393238134012
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393238146437
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1393238157982
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1393238185544
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1393238189192
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1393238192584
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393238194322
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393285007215
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1393285013075
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393285017812
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393285025330
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393285031027
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393285083617
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393285083738
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393285083822
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1393285088730
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393285093455
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393285330380
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1393285330392
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393285330688
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393285331304
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1393285357621
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1393285903067
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1393285929527
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393285948961
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393285949831
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1393285956463
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1393285971821
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1393285979558
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393285980913
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393285989045
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1393286006032
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1393286007086
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393286016120
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393286028102
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1393286036043
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393286037600
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393286144084
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393286149423
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393286152370
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393286153647
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393286216452
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393286216863
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393286216989
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1393286219579
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1393286228791
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1393286234626
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393286246048
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393286273006
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1393286278803
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393286295022
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393286295164
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1393286317116
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393286333000
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393286350364
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1393286353096
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393286356941
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393286357067
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393286363662
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393286364156
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1393286380076
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1393286393352
