what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1375326580985
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1375326582020
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1375326582029
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1375326610186
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1375326974092
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1375326975691
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1375326976188
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1375326982136
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1375327017323
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1375327021039
started,bundle,org.eclipse.mylyn.java.tasks,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.tasks",1375327024202
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1375327024405
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1375327025125
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1375327068038
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1375327070918
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1375327071747
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1375327084932
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1375327084946
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1375327085208
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1375327085279
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1375327129187
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1375327217118
started,bundle,org.eclipse.jdt.junit,3.5.0.v20090526-2000,"org.eclipse.jdt.junit",1375327236049
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1375327399494
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1375327528013
