what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1382685846878
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382685851532
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382685851682
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1382685868487
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1382685879213
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1382685881084
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1382685891612
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1382685951429
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382685960331
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382685961285
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1382685976173
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1382685977190
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1382685988064
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1382685991194
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1382686025428
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382686038698
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382686038852
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1382686040921
executed,command,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1382686044753
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382686067490
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382686100662
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1382686229937
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1382686236726
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1382686242117
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382686246937
