what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1389016478480
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1389016500558
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1389016524141
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1389016528479
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1389016528516
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1389016533801
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1389016543778
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1389016547969
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1389016549205
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1389016550004
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1389016552047
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1389016552937
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1389016564019
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1389016566852
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1389016578478
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1389016583207
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1389016585360
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1389016589414
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1389016610114
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1389016618805
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1389016622439
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1389016643358
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1389016666278
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1389016671106
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1389016673778
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1389016677818
