what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.help.aboutAction",1382948560998
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382948567292
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382948570916
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.update",1382948574877
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382948575159
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,1.0.100.v20090611-1224,"org.eclipse.equinox.p2.touchpoint.eclipse",1382948603172
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382948603322
opened,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProgressView",1382948612953
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProgressView",1382948613517
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382948621772
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382948643458
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1382948643479
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382948643819
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382948651703
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382948651731
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382948653194
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382948653566
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.ide.ant",1382948653960
stopped,bundle,org.eclipse.ant.ui,3.4.0.v20090520,"org.eclipse.ant.ui",1382948653960
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1382948653960
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.tasks",1382948653961
stopped,bundle,org.eclipse.mylyn.java.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.ui",1382948653969
stopped,bundle,org.eclipse.jdt.junit,3.5.0.v20090526-2000,"org.eclipse.jdt.junit",1382948653977
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.ui",1382948653977
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui",1382948653978
