what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1387336657392
error,log,,,"Unable to create editor ID org.eclipse.jdt.ui.CompilationUnitEditor: The file does not exist.",1387336659812
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1387336659968
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1387336659997
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1387336660148
closed,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1387336660151
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387336667168
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387336698688
opened,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1387336698835
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1387336698919
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.edit.text.openLocalFile",1387336698921
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1387336705113
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1387336710144
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1387336710144
error,log,,,"Unable to create editor ID org.eclipse.jdt.ui.CompilationUnitEditor: The file does not exist.",1387336711627
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1387336711670
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1387336711699
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1387336711795
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1387336713631
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1387336713631
error,log,,,"Unable to create editor ID org.eclipse.jdt.ui.CompilationUnitEditor: The file does not exist.",1387336716263
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1387336716268
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1387336716270
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1387336716333
closed,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1387336716334
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1387336717394
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1387336717394
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387336722162
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1387336747172
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090818-0225,"org.eclipse.jdt.apt.pluggable.core",1387336747242
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387336748633
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1387336762817
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1387336762930
started,bundle,org.eclipse.wb.os,1.6.0.r36x201305211944,"org.eclipse.wb.os",1387336862762
started,bundle,org.eclipse.wb.os.win32,1.6.0.r36x201305211944,"org.eclipse.wb.os.win32",1387336862782
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387336868100
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387336904667
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1387336972701
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1387336976161
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1387336976259
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1387337089815
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1387337090038
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1387337090120
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1387337118766
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1387337118982
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387337181284
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387337182088
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1387337252481
started,bundle,com.google.gdt.eclipse.designer.wizards,3.1.2.r36x201305212016,"com.google.gdt.eclipse.designer.wizards",1387337252689
started,bundle,org.eclipse.mylyn.java.tasks,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.tasks",1387337256506
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1387337256854
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387337257439
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1387337257464
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387337266518
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387337295600
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387337295742
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1387337298716
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387337303599
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387337304195
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387337306640
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387337307789
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387337309865
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387337411029
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387337416664
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387337417327
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387337422941
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387337423948
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387337424335
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387337430491
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387337458643
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1387337461555
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1387337461766
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1387337513907
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1387337517345
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387337522982
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387337553186
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1387337560200
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1387337563707
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1387337563790
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1387337574596
opened,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1387337579559
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387337609878
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387337609888
started,bundle,org.eclipse.mylyn.wikitext.ui,1.1.3.v20100217-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1387337638132
started,bundle,org.eclipse.mylyn.wikitext.core,1.1.3.v20100217-0100-e3x,"org.eclipse.mylyn.wikitext.core",1387337638162
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387337638446
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387337639760
executed,command,org.eclipse.mylyn.wikitext.ui,1.1.3.v20100217-0100-e3x,"org.eclipse.mylyn.wikitext.ui.convertToDocbookCommand",1387337639774
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1387337665127
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1387337670863
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1387337684241
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1387337774111
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1387337846712
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387337847131
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1387337847162
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387337862031
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1387338042247
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387338042627
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1387338042651
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387338071150
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1387338082697
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1387338115704
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387338116069
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1387338116089
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387338138884
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1387338180482
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387338182251
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1387338183325
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1387338192581
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1387338206926
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1387338209575
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1387338256759
