what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382942324107
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1382942324121
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1382942329484
started,bundle,org.eclipse.mylyn.java.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.ui",1382942337071
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1382942337386
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1382942342283
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382942344075
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382942346011
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1382942348747
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1382942364654
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382942376881
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382942379362
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1382942382876
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1382942386787
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1382942394064
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382942421490
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382942441379
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382942446438
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382942453538
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1382942453550
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1382942454962
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1382942456414
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1382942465187
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382942491609
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1382942491788
