what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1389013885030
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1389013908933
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1389013917062
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1389013917296
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1389013928395
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1389013928406
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1389013971154
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1389014052603
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.delete.line",1389014052611
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1389014053946
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1389014072864
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.delete.line",1389014072869
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1389014073926
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1389014089845
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1389014092573
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1389014092736
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1389014101981
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1389014102155
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1389014113834
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1389014116798
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1389014116984
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1389014119647
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1389014124579
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1389014128912
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1389014130805
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1389014168955
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1389014175253
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1389014175410
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1389014190813
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1389014192156
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1389014192677
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1389014198266
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1389014198753
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1389014199482
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1389014199994
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1389014201189
